ID,Salary,Designation,JobCity,Gender,10percentage,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ComputerScience,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Dyear,JYEAR
1027655,300000,system engineer,Hyderabad,m,89.92,2010,87.0,state board,5086,2,B.Tech/B.E.,EC,76.32,5086,2014,560,555,620,-1.0,645,407,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608,1992,2014
947847,300000,java software engineer,Banglore,m,86.08,2010,67.5,state board,314,2,B.Tech/B.E.,CS,72.98,314,2014,590,435,380,0.356536487724475,405,346,1.7081,-0.1054,-1.0379,-2.0092,-1.0872,1993,2014
1279958,300000,java software engineer,Bangalore,m,81.2,2008,79.9,state board,64,2,B.Tech/B.E.,EC,67.67,64,2013,395,565,645,-1.0,495,376,0.7027,0.7119,0.01,-0.995,0.6721,1992,2013
874596,250000,associate software developer,Gurgaon,m,60.8,2006,66.66,cbse,41,2,MCA,CS,74.74,41,2013,465,585,515,0.911395278391328,545,500,0.8463,1.0449,-1.0659,-1.6289,0.6721,1987,2013
963123,335000,programmer analyst,Hyderabad,m,88.0,2010,90.0,state board,9173,2,B.Tech/B.E.,CS,76.0,9173,2014,625,555,630,0.356536487724475,475,346,0.4155,0.8027,0.1357,-0.995,-0.6692,1993,2014
350211,435000,systems analyst,Gurgaon,f,86.8,2008,82.8,cbse,9019,2,B.Tech/B.E.,CS,78.0,9019,2012,575,585,575,0.744758354008939,565,438,0.0464,1.2028,-0.9245,0.5323,-0.2875,1991,2012
472956,220000,java software engineer,Gurgaon,m,64.0,2010,74.0,cbse,57,2,B.Tech/B.E.,CS,68.0,57,2014,485,375,435,0.486747008438193,345,376,-3.1994,-1.8393,0.0552,0.0623,-0.7615,1992,2014
1094324,340000,software engineer,Bangalore,m,77.2,2010,86.1,state board,7282,2,B.Tech/B.E.,CS,71.0,7282,2014,560,485,450,0.622642915849938,485,407,-0.0154,1.2114,1.0859,-1.5021,0.2889,1992,2014
1208010,145000,ios developer,Kolkata,m,73.0,2010,68.4,state board,8297,2,B.Tech/B.E.,CS,74.3,8297,2014,560,530,605,0.911395278391328,445,500,-0.7335,0.5454,-0.7585,-0.6147,1.4386,1992,2014
1073190,215000,executive assistant,Bangalore,f,71.0,2009,68.0,icse,7869,2,B.Tech/B.E.,CS,70.86,7869,2013,430,510,405,0.356536487724475,465,346,1.5644,1.0449,0.3174,-1.8824,1.0554,1989,2015
955678,145000,software developer,Delhi,m,75.0,2009,60.0,cbse,105,2,B.Tech/B.E.,CS,66.0,105,2014,380,545,460,0.356536487724475,395,346,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356,1992,2014
895673,350000,associate software engineer,Bangalore,m,91.4,2010,73.0,cbse,119,1,B.Tech/B.E.,CS,71.0,119,2014,555,560,825,0.23780283983757,525,315,-0.0154,0.2578,-0.5349,-1.1218,-1.359,1991,2014
592833,205000,jr. software engineer,noida,f,85.6,2008,82.0,cbse,13094,2,B.Tech/B.E.,CS,74.01,13094,2012,370,495,455,0.0800552813405495,445,253,0.1282,0.5454,0.1637,-0.4879,0.8637,1991,2013
338428,390000,software engineer,Bangalore,m,86.6,2009,75.0,cbse,11637,2,B.Tech/B.E.,CS,74.0,11637,2013,505,545,565,0.356536487724475,475,346,-2.5039,0.0328,0.3817,0.26793,0.5024,1991,2013
989860,250000,software engineer,Mangalore,m,90.8,2010,90.1,state board,12832,2,B.Tech/B.E.,CS,67.7,12832,2014,525,530,595,0.486747008438193,485,376,-0.3027,0.7119,-0.2974,1.1601,-0.4776,1992,2014
940402,300000,java developer,Chennai,m,85.3,2010,88.3,state board,434,2,B.Tech/B.E.,CS,85.0,434,2014,370,375,325,0.356536487724475,315,346,1.8517,1.5444,0.3174,0.3995,0.6721,1993,2014
1089599,250000,java software engineer,Rajkot,m,86.0,2008,64.0,state board,9564,2,B.Tech/B.E.,CS,61.17,9564,2013,665,545,415,0.911395278391328,405,500,1.1336,1.3779,2.1617,-0.995,1.0554,1990,2014
1230478,200000,technical support engineer,Bangalore,m,85.0,2010,75.0,cbse,319,2,B.Tech/B.E.,CS,60.0,319,2014,675,480,500,0.842248322257836,425,469,1.1336,1.0449,0.1637,-1.2486,0.0973,1992,2014
1225896,120000,data analyst,Indore,f,86.0,2009,77.0,state board,4973,2,B.Tech/B.E.,CS,75.0,4973,2013,325,510,295,0.0185409416754305,415,192,0.1282,0.0459,0.1637,0.0192,-0.0943,1991,2015
1168608,325000,system engineer,Mysore,f,86.4,2010,78.2,cbse,6982,2,B.Tech/B.E.,EC,73.5,6982,2014,535,435,440,0.207392169717661,355,530,0.8463,1.3779,1.3933,0.653,-0.2859,1993,2014
1098869,300000,assistant software engineer,Bangalore,m,84.83,2010,82.4,cbse,903,2,B.Tech/B.E.,CS,74.14,903,2014,665,595,705,0.744758354008939,505,438,-0.4463,0.2124,0.3174,-1.5021,-0.2859,1992,2014
1259641,220000,research associate,Hyderabad,f,87.0,2008,60.0,cbse,973,2,B.Tech/B.E.,CS,70.82,973,2013,640,605,400,0.842248322257836,425,469,0.8463,1.2114,1.2396,-0.1076,1.247,1992,2014
1151485,275000,quality engineer,Bangalore,m,80.8,2009,75.0,state board,6836,2,B.Tech/B.E.,EC,77.38,6836,2013,405,470,370,-1.0,475,500,1.4208,-0.7866,-0.1437,-1.5021,-0.4776,1991,2014
1250429,1500000,application developer,Hyderabad,m,79.0,2009,87.9,state board,9557,2,B.Tech/B.E.,CS,66.0,9557,2013,315,435,355,0.356536487724475,335,346,0.4155,0.5454,0.9322,-0.6147,0.8637,1992,2014
